EMP_ID,Location,Possible_nearest_station,Distance_to_cover(kms),distance_to_station(kms),station_to_workplace(kms),total_time,commute_group,Deutschlandticket_Metric
JNJMED_284,Norderstedt-Garstedt,Ochsenzoll,3.32,2.63,2.0,33.7,Bike friendly,Low
JNJMED_285,Norderstedt-Garstedt,Ochsenzoll,3.01,1.56,2.0,31.5,Bike friendly,Low
JNJMED_286,Norderstedt-Garstedt,Norderstedt Harksheide,4.97,3.34,3.28,37.3,Excellent,Very High
JNJMED_287,Norderstedt-Garstedt,Norderstedt Mitte,2.24,0.34,1.93,27.1,Bike friendly,Low
JNJMED_288,Norderstedt-Garstedt,Quickborn,4.25,2.69,6.89,42.2,Excellent,Very High
JNJMED_289,Norderstedt-Garstedt,Norderstedt Harksheide,3.5,1.55,3.28,33.7,Bike friendly,Low
JNJMED_290,Norderstedt-Garstedt,Langenhorn Nord,4.26,1.77,4.03,35.4,Excellent,Very High
JNJMED_291,Norderstedt-Garstedt,Norderstedt Mitte,2.12,0.29,1.93,26.1,Bike friendly,Low
JNJMED_292,Norderstedt-Garstedt,Norderstedt Harksheide,6.55,4.18,3.28,39.0,Excellent,Very High
JNJMED_293,Norderstedt-Garstedt,Norderstedt Harksheide,2.58,1.1,3.28,32.8,Bike friendly,Low
JNJMED_294,Norderstedt-Garstedt,Norderstedt Garstedt,0.31,1.25,0.94,6.2,Walk to work,Very Low
JNJMED_295,Norderstedt-Harksheide,Norderstedt Harksheide,4.66,2.59,3.28,35.8,Excellent,Very High
JNJMED_296,Norderstedt-Harksheide,Norderstedt Harksheide,3.08,1.02,3.28,32.6,Bike friendly,Low
JNJMED_297,Norderstedt-Harksheide,Norderstedt Harksheide,4.57,1.29,3.28,33.2,Excellent,Very High
JNJMED_298,Norderstedt-Harksheide,Norderstedt Harksheide,5.18,2.6,3.28,35.8,Excellent,Very High
JNJMED_299,Norderstedt-Harksheide,Norderstedt Mitte,2.22,1.09,1.93,30.5,Bike friendly,Low
JNJMED_300,Norderstedt-Harksheide,Norderstedt Harksheide,3.09,1.15,3.28,32.9,Bike friendly,Low
JNJMED_301,Norderstedt-Harksheide,Norderstedt Harksheide,4.5,2.57,3.28,35.7,Excellent,Very High
JNJMED_302,Norderstedt-Harksheide,Norderstedt Harksheide,6.5,3.31,3.28,37.2,Excellent,Very High
JNJMED_303,Norderstedt-Harksheide,Norderstedt Harksheide,6.62,3.79,3.28,38.2,Excellent,Very High
JNJMED_304,Norderstedt-Harksheide,Norderstedt Mitte,1.31,1.65,1.93,26.2,Walk to work,Very Low
JNJMED_305,Norderstedt-Harksheide,Langenhorn Nord,4.85,3.08,4.03,38.1,Excellent,Very High
JNJMED_306,Norderstedt-Harksheide,Norderstedt Harksheide,4.57,1.53,3.28,33.7,Excellent,Very High
JNJMED_307,Norderstedt-Harksheide,Norderstedt Mitte,3.47,2.11,1.93,32.5,Bike friendly,Low
JNJMED_308,Norderstedt-Harksheide,Henstedt-Ulzburg,8.5,3.68,11.19,51.6,Good,Very High
JNJMED_309,Norderstedt-Harksheide,Norderstedt Harksheide,4.41,1.42,3.28,33.4,Excellent,Very High
JNJMED_310,Norderstedt-Harksheide,Norderstedt Harksheide,4.46,1.2,3.28,33.0,Excellent,Very High
JNJMED_311,Norderstedt-Harksheide,Norderstedt Richtweg,2.88,1.69,1.34,30.7,Bike friendly,Low
JNJMED_312,Norderstedt-Harksheide,Norderstedt Harksheide,8.28,4.99,3.28,40.6,Excellent,Very High
JNJMED_313,Kaltenkirchen,Kaltenkirchen,19.86,3.61,16.29,60.1,Time consuming,High
JNJMED_314,Kaltenkirchen,Kaltenkirchen,14.06,2.26,16.29,57.4,Good,Very High
JNJMED_315,Kaltenkirchen,Kaltenkirchen,16.32,2.26,16.29,57.4,Good,Very High
JNJMED_316,Kaltenkirchen,Henstedt-Ulzburg,12.52,2.27,11.19,48.7,Good,Very High
JNJMED_317,Kaltenkirchen,Kaltenkirchen,15.97,0.85,16.29,61.9,Time consuming,High
JNJMED_318,Kaltenkirchen,Kaltenkirchen,14.67,3.92,16.29,60.7,Time consuming,High
JNJMED_319,Kaltenkirchen,Kaltenkirchen,18.05,1.79,16.29,56.5,Good,Very High
JNJMED_320,Kaltenkirchen,Kaltenkirchen,13.87,3.82,16.29,60.5,Time consuming,High
JNJMED_321,Kaltenkirchen,Kaltenkirchen,15.55,3.49,16.29,59.9,Good,Very High
JNJMED_322,Kaltenkirchen,Kaltenkirchen,16.18,2.94,16.29,58.8,Good,Very High
JNJMED_323,Kaltenkirchen,Kaltenkirchen,15.74,0.75,16.29,59.9,Good,Very High
JNJMED_324,Kaltenkirchen,Henstedt-Ulzburg,10.27,1.59,11.19,47.4,Good,Very High
JNJMED_325,Henstedt-Ulzburg,Henstedt-Ulzburg,10.82,1.45,11.19,47.1,Good,Very High
JNJMED_326,Henstedt-Ulzburg,Kaltenkirchen,15.52,3.54,16.29,60.0,Good,Very High
JNJMED_327,Henstedt-Ulzburg,Henstedt-Ulzburg,10.95,2.24,11.19,48.7,Good,Very High
JNJMED_328,Henstedt-Ulzburg,Kaltenkirchen,17.0,1.54,16.29,56.0,Good,Very High
JNJMED_329,Henstedt-Ulzburg,Henstedt-Ulzburg,11.31,0.13,11.19,38.8,Excellent,Very High
JNJMED_330,Henstedt-Ulzburg,Henstedt-Ulzburg,11.73,0.6,11.19,48.2,Good,Very High
JNJMED_331,Henstedt-Ulzburg,Henstedt-Ulzburg,10.08,1.6,11.19,47.4,Good,Very High
JNJMED_332,Henstedt-Ulzburg,Henstedt-Ulzburg,11.28,1.07,11.19,46.3,Good,Very High
JNJMED_333,Henstedt-Ulzburg,Henstedt-Ulzburg,9.69,1.51,11.19,47.2,Good,Very High
JNJMED_334,Henstedt-Ulzburg,Henstedt-Ulzburg,11.05,3.02,11.19,50.2,Good,Very High
JNJMED_335,Henstedt-Ulzburg,Norderstedt Harksheide,5.71,2.63,3.28,35.9,Excellent,Very High
JNJMED_336,Henstedt-Ulzburg,Kaltenkirchen,14.7,3.61,16.29,60.1,Time consuming,High
JNJMED_337,Ammersbek,Ammersbek,12.16,0.84,12.52,55.3,Good,Very High
JNJMED_338,Ammersbek,Ammersbek,11.37,2.03,12.52,50.6,Good,Very High
JNJMED_339,Ammersbek,Ahrensburg,16.33,1.44,17.25,57.5,Good,Very High
JNJMED_340,Ammersbek,Ammersbek,15.87,4.58,12.52,55.7,Good,Very High
JNJMED_341,Ammersbek,Ammersbek,11.17,3.65,12.52,53.8,Good,Very High
JNJMED_342,Ammersbek,Ammersbek,13.83,1.34,12.52,49.2,Good,Very High
JNJMED_343,Ammersbek,Ammersbek,14.28,2.13,12.52,50.8,Good,Very High
JNJMED_344,Ammersbek,Ammersbek,12.18,1.05,12.52,48.6,Good,Very High
JNJMED_345,Ammersbek,Ammersbek,14.16,3.31,12.52,53.1,Good,Very High
JNJMED_346,Ammersbek,Ammersbek,15.18,2.72,12.52,51.9,Good,Very High
JNJMED_347,Ammersbek,Ammersbek,14.07,1.8,12.52,50.1,Good,Very High
JNJMED_348,Ammersbek,Ammersbek,12.65,2.84,12.52,52.2,Good,Very High
JNJMED_349,Hamburg-Nord,Lokstedt,9.52,0.61,10.03,46.4,Good,Very High
JNJMED_350,Hamburg-Nord,Airport (Flughafen),8.05,2.03,6.69,40.6,Excellent,Very High
JNJMED_351,Hamburg-Nord,Winterhude / Hudtwalckerstraße,11.63,0.86,10.9,52.9,Good,Very High
JNJMED_352,Hamburg-Nord,Eimsbüttel / Osterstraße,11.83,1.05,12.86,49.1,Good,Very High
JNJMED_353,Hamburg-Nord,Dammtor,13.71,1.67,14.47,53.1,Good,Very High
JNJMED_354,Hamburg-Nord,Hasselbrook,13.64,0.86,14.5,59.1,Good,Very High
JNJMED_355,Hamburg-Nord,Berliner Tor,15.31,0.9,15.8,62.1,Time consuming,High
JNJMED_356,Hamburg-Nord,Winterhude / Hudtwalckerstraße,9.65,1.95,10.9,47.6,Good,Very High
JNJMED_357,Hamburg-Nord,Winterhude / Hudtwalckerstraße,11.42,0.93,10.9,54.3,Good,Very High
JNJMED_358,Hamburg-Nord,Winterhude / Hudtwalckerstraße,10.61,0.87,10.9,53.1,Good,Very High
JNJMED_359,Hamburg-Nord,Winterhude / Hudtwalckerstraße,9.9,1.43,10.9,46.6,Good,Very High
JNJMED_360,Hamburg-Nord,Winterhude / Hudtwalckerstraße,10.93,1.59,10.9,46.9,Good,Very High
JNJMED_361,Hamburg-Nord,Lokstedt,9.75,1.26,10.03,44.7,Excellent,Very High
JNJMED_362,Hamburg-Nord,Dammtor,13.3,2.16,14.47,54.1,Good,Very High
JNJMED_363,Hamburg-Nord,Lokstedt,9.73,1.9,10.03,46.0,Good,Very High
JNJMED_364,Hamburg-Nord,Winterhude / Hudtwalckerstraße,10.17,0.98,10.9,55.3,Good,Very High
JNJMED_365,Hamburg-Nord,Lokstedt,11.32,1.54,10.03,45.3,Good,Very High
JNJMED_366,Hamburg-Nord,Lokstedt,9.72,0.41,10.03,42.4,Excellent,Very High
JNJMED_367,Winterhude,Lokstedt,10.29,0.26,10.03,39.4,Excellent,Very High
JNJMED_368,Winterhude,Ohlsdorf,9.27,1.11,8.49,41.8,Excellent,Very High
JNJMED_369,Winterhude,Barmbek,11.22,0.95,12.18,56.9,Good,Very High
JNJMED_370,Winterhude,Klein Borstel,8.38,0.51,8.65,42.0,Excellent,Very High
JNJMED_371,Winterhude,Jungfernstieg,15.21,1.38,15.26,54.0,Good,Very High
JNJMED_372,Winterhude,Winterhude / Hudtwalckerstraße,12.65,1.85,10.9,47.4,Good,Very High
JNJMED_373,Winterhude,Winterhude / Hudtwalckerstraße,9.96,1.92,10.9,47.5,Good,Very High
JNJMED_374,Winterhude,Winterhude / Hudtwalckerstraße,10.69,1.84,10.9,47.4,Good,Very High
JNJMED_375,Winterhude,Eimsbüttel / Osterstraße,12.49,1.13,12.86,49.3,Good,Very High
JNJMED_376,Winterhude,Eimsbüttel / Osterstraße,13.17,1.29,12.86,49.6,Good,Very High
JNJMED_377,Winterhude,Hasselbrook,13.87,0.68,14.5,55.5,Good,Very High
JNJMED_378,Winterhude,Wandsbek Markt,15.03,1.42,14.56,52.8,Good,Very High
JNJMED_379,Winterhude,Winterhude / Hudtwalckerstraße,10.26,0.66,10.9,48.9,Good,Very High
JNJMED_380,Winterhude,Hasselbrook,13.43,1.38,14.5,52.7,Good,Very High
JNJMED_381,Winterhude,Winterhude / Hudtwalckerstraße,12.57,1.72,10.9,47.1,Good,Very High
JNJMED_382,Winterhude,Langenhorn Markt,5.68,0.97,5.26,45.4,Good,Very High
JNJMED_383,Winterhude,Airport (Flughafen),8.56,2.39,6.69,41.3,Excellent,Very High
JNJMED_384,Winterhude,Wandsbek-Gartenstadt,12.44,0.85,12.61,55.6,Good,Very High
JNJMED_385,Lokstedt,Winterhude / Hudtwalckerstraße,11.34,1.2,10.9,46.1,Good,Very High
JNJMED_386,Lokstedt,Niendorf Markt,8.99,1.57,8.28,42.3,Excellent,Very High
JNJMED_387,Lokstedt,Niendorf Markt,8.48,1.55,8.28,42.3,Excellent,Very High
JNJMED_388,Lokstedt,Stellingen,10.1,3.09,11.94,51.7,Good,Very High
JNJMED_389,Lokstedt,Stellingen,11.84,1.24,11.94,48.0,Good,Very High
JNJMED_390,Lokstedt,Lokstedt,10.1,0.33,10.03,40.8,Excellent,Very High
JNJMED_391,Lokstedt,Stellingen,10.72,1.99,11.94,49.5,Good,Very High
JNJMED_392,Lokstedt,Lokstedt,9.1,0.95,10.03,53.2,Good,Very High
JNJMED_393,Lokstedt,Lokstedt,8.63,1.78,10.03,45.8,Good,Very High
JNJMED_394,Lokstedt,Niendorf Markt,8.14,0.48,8.28,40.8,Excellent,Very High
JNJMED_395,Lokstedt,Stellingen,11.51,2.0,11.94,49.5,Good,Very High
JNJMED_396,Lokstedt,Niendorf Markt,9.12,0.86,8.28,48.4,Good,Very High
JNJMED_397,Lokstedt,Stellingen,10.48,2.13,11.94,49.8,Good,Very High
JNJMED_398,Lokstedt,Eimsbüttel / Osterstraße,12.28,1.74,12.86,50.5,Good,Very High
JNJMED_399,Lokstedt,Lokstedt,10.01,0.43,10.03,42.8,Excellent,Very High
JNJMED_400,Lokstedt,Lokstedt,10.07,0.88,10.03,51.8,Good,Very High
JNJMED_401,Lokstedt,Niendorf Markt,8.48,1.48,8.28,42.2,Excellent,Very High
JNJMED_402,Lokstedt,Stellingen,10.2,1.76,11.94,49.0,Good,Very High
JNJMED_403,Stellingen,Stellingen,13.05,1.93,11.94,49.4,Good,Very High
JNJMED_404,Stellingen,Schenefeld,11.94,2.36,13.29,52.5,Good,Very High
JNJMED_405,Stellingen,Schenefeld,10.59,2.71,13.29,53.2,Good,Very High
JNJMED_406,Stellingen,Stellingen,12.69,2.16,11.94,49.8,Good,Very High
JNJMED_407,Stellingen,Niendorf Markt,8.92,3.08,8.28,45.4,Good,Very High
JNJMED_408,Stellingen,Schenefeld,11.76,1.78,13.29,51.4,Good,Very High
JNJMED_409,Stellingen,Stellingen,10.67,1.27,11.94,48.0,Good,Very High
JNJMED_410,Stellingen,Stellingen,10.95,1.13,11.94,47.8,Good,Very High
JNJMED_411,Stellingen,Eimsbüttel / Osterstraße,12.07,1.08,12.86,49.2,Good,Very High
JNJMED_412,Stellingen,Rellingen,8.2,2.71,9.46,46.6,Good,Very High
JNJMED_413,Stellingen,Eimsbüttel / Osterstraße,11.9,1.18,12.86,49.4,Good,Very High
JNJMED_414,Stellingen,Halstenbek,9.56,2.99,10.96,49.8,Good,Very High
JNJMED_415,Niendorf,Niendorf Markt,9.5,1.27,8.28,41.7,Excellent,Very High
JNJMED_416,Niendorf,Stellingen,11.84,0.21,11.94,41.7,Excellent,Very High
JNJMED_417,Niendorf,Stellingen,11.02,0.94,11.94,56.3,Good,Very High
JNJMED_418,Niendorf,Niendorf Markt,8.43,0.43,8.28,39.8,Excellent,Very High
JNJMED_419,Niendorf,Niendorf Markt,6.21,3.91,8.28,47.0,Good,Very High
JNJMED_420,Niendorf,Niendorf Markt,6.49,2.11,8.28,43.4,Excellent,Very High
JNJMED_421,Niendorf,Niendorf Markt,8.34,1.27,8.28,41.7,Excellent,Very High
JNJMED_422,Niendorf,Lokstedt,10.78,0.79,10.03,50.0,Good,Very High
JNJMED_423,Niendorf,Niendorf Markt,7.9,0.91,8.28,49.4,Good,Very High
JNJMED_424,Niendorf,Ohlsdorf,8.08,0.56,8.49,42.8,Excellent,Very High
JNJMED_425,Niendorf,Lokstedt,10.1,1.68,10.03,45.6,Good,Very High
JNJMED_426,Niendorf,Lokstedt,10.09,1.73,10.03,45.7,Good,Very High
JNJMED_427,Niendorf,Lokstedt,9.63,1.79,10.03,45.8,Good,Very High
JNJMED_428,Niendorf,Niendorf Markt,5.95,3.26,8.28,45.7,Good,Very High
JNJMED_429,Niendorf,Lokstedt,10.11,0.36,10.03,41.4,Excellent,Very High
JNJMED_430,Niendorf,Lokstedt,9.46,0.83,10.03,50.8,Good,Very High
JNJMED_431,Niendorf,Niendorf Markt,9.24,3.12,8.28,45.4,Good,Very High
JNJMED_432,Niendorf,Langenhorn Markt,5.0,0.87,5.26,43.4,Excellent,Very High
JNJMED_433,Langenhorn,Langenhorn Nord,3.37,1.92,4.03,35.7,Bike friendly,Low
JNJMED_434,Langenhorn,Ochsenzoll,2.36,0.58,2.0,32.0,Bike friendly,Low
JNJMED_435,Langenhorn,Langenhorn Nord,5.29,3.92,4.03,39.7,Excellent,Very High
JNJMED_436,Langenhorn,Ochsenzoll,2.38,1.9,2.0,32.2,Bike friendly,Low
JNJMED_437,Langenhorn,Airport (Flughafen),5.04,2.38,6.69,41.3,Excellent,Very High
JNJMED_438,Langenhorn,Langenhorn Nord,5.25,2.68,4.03,37.3,Excellent,Very High
JNJMED_439,Langenhorn,Langenhorn Nord,3.57,0.71,4.03,38.1,Bike friendly,Low
JNJMED_440,Langenhorn,Langenhorn Nord,4.15,1.71,4.03,35.3,Excellent,Very High
JNJMED_441,Langenhorn,Norderstedt Harksheide,3.66,1.81,3.28,34.2,Bike friendly,Low
JNJMED_442,Langenhorn,Langenhorn Nord,4.54,0.93,4.03,42.5,Excellent,Very High
JNJMED_443,Langenhorn,Ochsenzoll,4.96,3.71,2.0,35.8,Excellent,Very High
JNJMED_444,Langenhorn,Garstedt,0.88,0.09,0.94,17.6,Walk to work,Very Low
JNJMED_445,Langenhorn,Ochsenzoll,3.54,2.25,2.0,32.9,Bike friendly,Low
JNJMED_446,Langenhorn,Ochsenzoll,2.29,1.6,2.0,31.6,Bike friendly,Low
JNJMED_447,Langenhorn,Norderstedt Richtweg,3.62,2.65,1.34,32.6,Bike friendly,Low
JNJMED_448,Langenhorn,Norderstedt Richtweg,2.8,1.58,1.34,30.5,Bike friendly,Low
JNJMED_449,Langenhorn,Ochsenzoll,2.82,0.91,2.0,38.6,Bike friendly,Low
JNJMED_450,Langenhorn,Norderstedt Richtweg,0.79,1.35,1.34,15.8,Walk to work,Very Low
JNJMED_451,Poppenbüttel,Poppenbüttel,7.5,0.65,8.14,44.0,Excellent,Very High
JNJMED_452,Poppenbüttel,Volksdorf,10.81,2.24,12.86,51.5,Good,Very High
JNJMED_453,Poppenbüttel,Poppenbüttel,8.46,0.38,8.14,38.6,Excellent,Very High
JNJMED_454,Poppenbüttel,Berne,11.56,1.63,12.73,50.1,Good,Very High
JNJMED_455,Poppenbüttel,Volksdorf,12.03,1.36,12.86,49.7,Good,Very High
JNJMED_456,Poppenbüttel,Poppenbüttel,9.32,1.3,8.14,41.6,Excellent,Very High
JNJMED_457,Poppenbüttel,Volksdorf,11.18,1.69,12.86,50.4,Good,Very High
JNJMED_458,Poppenbüttel,Poppenbüttel,9.17,1.04,8.14,41.1,Excellent,Very High
JNJMED_459,Poppenbüttel,Poppenbüttel,8.32,1.16,8.14,41.3,Excellent,Very High
JNJMED_460,Poppenbüttel,Poppenbüttel,9.45,1.55,8.14,42.1,Excellent,Very High
JNJMED_461,Poppenbüttel,Poppenbüttel,5.7,2.65,8.14,44.3,Excellent,Very High
JNJMED_462,Poppenbüttel,Poppenbüttel,7.26,1.11,8.14,41.2,Excellent,Very High
JNJMED_463,Bergedorf,Bergedorf,22.73,4.32,26.91,79.7,Time consuming,High
JNJMED_464,Bergedorf,Bergedorf,28.06,1.15,26.91,73.4,Time consuming,High
JNJMED_465,Bergedorf,Bergedorf,23.7,3.75,26.91,78.6,Time consuming,High
JNJMED_466,Bergedorf,Bergedorf,29.81,3.72,26.91,78.5,Time consuming,High
JNJMED_467,Bergedorf,Bergedorf,27.4,5.42,26.91,81.9,Too far to commute regularly,Low
JNJMED_468,Bergedorf,Bergedorf,25.24,1.69,26.91,74.5,Time consuming,High
JNJMED_469,Bergedorf,Bergedorf,29.28,2.37,26.91,75.8,Time consuming,High
JNJMED_470,Bergedorf,Bergedorf,25.54,1.51,26.91,74.1,Time consuming,High
JNJMED_471,Bergedorf,Bergedorf,29.94,3.04,26.91,77.2,Time consuming,High
JNJMED_472,Bergedorf,Bergedorf,25.3,1.74,26.91,74.6,Time consuming,High
JNJMED_473,Bergedorf,Billstedt,22.01,4.52,18.57,65.8,Time consuming,High
JNJMED_474,Bergedorf,Bergedorf,28.83,3.5,26.91,78.1,Time consuming,High
JNJMED_475,Tornesch,Tornesch,17.02,0.84,17.69,64.1,Time consuming,High
JNJMED_476,Tornesch,Tornesch,16.79,1.31,17.69,57.9,Good,Very High
JNJMED_477,Tornesch,Pinneberg,14.73,3.39,12.76,53.7,Good,Very High
JNJMED_478,Tornesch,Tornesch,15.29,2.45,17.69,60.2,Time consuming,High
JNJMED_479,Tornesch,Tornesch,16.67,1.1,17.69,57.5,Good,Very High
JNJMED_480,Tornesch,Tornesch,16.75,1.32,17.69,57.9,Good,Very High
JNJMED_481,Tornesch,Tornesch,15.05,2.95,17.69,61.2,Time consuming,High
JNJMED_482,Tornesch,Tornesch,16.14,1.56,17.69,58.4,Good,Very High
JNJMED_483,Tornesch,Tornesch,14.65,3.08,17.69,61.5,Time consuming,High
JNJMED_484,Tornesch,Pinneberg,13.92,3.98,12.76,54.9,Good,Very High
JNJMED_485,Tornesch,Uetersen,20.34,1.59,20.99,64.2,Time consuming,High
JNJMED_486,Tornesch,Tornesch,18.87,1.21,17.69,57.7,Good,Very High
JNJMED_487,Uetersen,Uetersen,21.97,1.8,20.99,64.6,Time consuming,High
JNJMED_488,Uetersen,Uetersen,24.47,3.67,20.99,68.3,Time consuming,High
JNJMED_489,Uetersen,Uetersen,25.53,4.68,20.99,70.4,Time consuming,High
JNJMED_490,Uetersen,Uetersen,19.65,4.3,20.99,69.6,Time consuming,High
JNJMED_491,Uetersen,Uetersen,19.83,1.82,20.99,64.6,Time consuming,High
JNJMED_492,Uetersen,Uetersen,20.97,2.52,20.99,66.0,Time consuming,High
JNJMED_493,Uetersen,Uetersen,22.96,2.0,20.99,65.0,Time consuming,High
JNJMED_494,Uetersen,Tornesch,19.07,1.62,17.69,58.5,Good,Very High
JNJMED_495,Uetersen,Uetersen,20.64,0.93,20.99,71.6,Time consuming,High
JNJMED_496,Uetersen,Uetersen,24.7,3.72,20.99,68.4,Time consuming,High
JNJMED_497,Uetersen,Uetersen,22.05,1.37,20.99,63.7,Time consuming,High
JNJMED_498,Uetersen,Uetersen,21.44,2.6,20.99,66.2,Time consuming,High
